"Word","Length","Freq_HAL","Log_Freq_HAL"
"sung","4","3763","8.23"
"sunk","4","1552","7.35"
"suns","4","2513","7.83"
"stir","4","4523","8.42"
"stop","4","96586","11.48"
"stow","4","180","5.19"
"stub","4","787","6.67"
"stud","4","3139","8.05"
"stun","4","1780","7.48"
"Styx","4","398","5.99"
"stag","4","290","5.67"
"Stan","4","6184","8.73"
"star","4","81633","11.31"
"stat","4","3887","8.27"
"stay","4","49009","10.80"
"stem","4","3579","8.18"
"step","4","43956","10.69"
"stew","4","1556","7.35"
"spec","4","7879","8.97"
"sped","4","793","6.68"
"spew","4","3351","8.12"
"spin","4","10683","9.28"
"spit","4","3740","8.23"
"spot","4","19103","9.86"
"spry","4","754","6.63"
"spud","4","547","6.30"
"spun","4","1573","7.36"
"spur","4","1019","6.93"
"stab","4","1640","7.40"
"snub","4","181","5.20"
"snug","4","1259","7.14"
"soak","4","2107","7.65"
"soap","4","8037","8.99"
"soar","4","864","6.76"
"sobs","4","405","6.00"
"sock","4","1146","7.04"
"soda","4","3367","8.12"
"sofa","4","1515","7.32"
"soft","4","22233","10.01"
"soil","4","7607","8.94"
"sold","4","189940","12.15"
"sole","4","7668","8.94"
"solo","4","17635","9.78"
"soma","4","326","5.79"
"some","4","1042740","13.86"
"song","4","59801","11.00"
"sons","4","7093","8.87"
"soon","4","90301","11.41"
"soot","4","283","5.65"
"sops","4","69","4.23"
"sore","4","3354","8.12"
"sort","4","78952","11.28"
"soul","4","32352","10.38"
"soup","4","6046","8.71"
"sour","4","2340","7.76"
"sown","4","269","5.59"
"spam","4","25571","10.15"
"span","4","3410","8.13"
"spar","4","482","6.18"
"spat","4","688","6.53"
"spay","4","294","5.68"
"slag","4","579","6.36"
"slam","4","4231","8.35"
"slap","4","3098","8.04"
"slat","4","70","4.25"
"Slav","4","437","6.08"
"slaw","4","86","4.45"
"slay","4","555","6.32"
"sled","4","2423","7.79"
"slew","4","1254","7.13"
"slid","4","4980","8.51"
"slim","4","3707","8.22"
"slip","4","24291","10.10"
"slit","4","2568","7.85"
"slob","4","379","5.94"
"sloe","4","29","3.37"
"slop","4","407","6.01"
"slot","4","11956","9.39"
"slow","4","43719","10.69"
"slug","4","4597","8.43"
"slum","4","467","6.15"
"slur","4","658","6.49"
"slut","4","2118","7.66"
"smog","4","727","6.59"
"smug","4","1002","6.91"
"smut","4","849","6.74"
"snag","4","1431","7.27"
"snap","4","8365","9.03"
"snip","4","5535","8.62"
"snob","4","453","6.12"
"snot","4","498","6.21"
"snow","4","20209","9.91"
"sick","4","22109","10.00"
"side","4","112408","11.63"
"sift","4","769","6.65"
"sigh","4","8526","9.05"
"sign","4","39389","10.58"
"sikh","4","1641","7.40"
"silk","4","3864","8.26"
"sill","4","439","6.08"
"silo","4","640","6.46"
"silt","4","182","5.20"
"sine","4","1153","7.05"
"sing","4","10917","9.30"
"sink","4","8579","9.06"
"sins","4","5195","8.56"
"sire","4","931","6.84"
"sirs","4","514","6.24"
"site","4","148790","11.91"
"sits","4","5661","8.64"
"size","4","107005","11.58"
"skew","4","733","6.60"
"skid","4","783","6.66"
"skim","4","942","6.85"
"skin","4","24973","10.13"
"skip","4","8818","9.08"
"skis","4","2189","7.69"
"skit","4","805","6.69"
"slab","4","981","6.89"
"sham","4","1009","6.92"
"shaw","4","5608","8.63"
"Shea","4","1969","7.59"
"shed","4","6227","8.74"
"shim","4","478","6.17"
"shin","4","1605","7.38"
"ship","4","51299","10.85"
"shod","4","113","4.73"
"shoe","4","5209","8.56"
"shoo","4","216","5.38"
"shop","4","27995","10.24"
"shot","4","42214","10.65"
"show","4","178842","12.09"
"shun","4","925","6.83"
"shut","4","19700","9.89"
"seed","4","8215","9.01"
"seek","4","19663","9.89"
"seem","4","122295","11.71"
"seen","4","160826","11.99"
"seep","4","207","5.33"
"seer","4","356","5.87"
"sees","4","12244","9.41"
"self","4","29333","10.29"
"sell","4","77273","11.26"
"semi","4","2188","7.69"
"send","4","324164","12.69"
"sent","4","91673","11.43"
"serf","4","550","6.31"
"sets","4","38222","10.55"
"sewn","4","559","6.33"
"sexy","4","6229","8.74"
"shag","4","476","6.17"
"shah","4","2250","7.72"
"Scot","4","1408","7.25"
"scud","4","356","5.87"
"scum","4","3108","8.04"
"seal","4","6421","8.77"
"seam","4","1085","6.99"
"Sean","4","12706","9.45"
"sear","4","265","5.58"
"seas","4","2648","7.88"
"seat","4","17184","9.75"
"sect","4","1666","7.42"
"safe","4","33169","10.41"
"saga","4","2795","7.94"
"sage","4","4766","8.47"
"sags","4","96","4.56"
"said","4","352357","12.77"
"sail","4","3552","8.18"
"sake","4","11448","9.35"
"sale","4","95391","11.47"
"salt","4","15258","9.63"
"same","4","401465","12.90"
"sand","4","10083","9.22"
"sane","4","3942","8.28"
"sang","4","5220","8.56"
"sank","4","1115","7.02"
"sans","4","2830","7.95"
"saps","4","372","5.92"
"Sara","4","2460","7.81"
"sash","4","307","5.73"
"sass","4","148","5.00"
"sate","4","108","4.68"
"Saul","4","1011","6.92"
"save","4","62632","11.05"
"saws","4","431","6.07"
"says","4","199458","12.20"
"scab","4","546","6.30"
"scan","4","14016","9.55"
"scar","4","1738","7.46"
"scat","4","405","6.00"
"robe","4","1641","7.40"
"robs","4","291","5.67"
"rock","4","44285","10.70"
"rode","4","2639","7.88"
"rods","4","2832","7.95"
"role","4","32941","10.40"
"roll","4","21720","9.99"
"Rome","4","5454","8.60"
"romp","4","418","6.04"
"roof","4","5626","8.64"
"rook","4","637","6.46"
"room","4","85138","11.35"
"root","4","27384","10.22"
"rope","4","6358","8.76"
"Rosa","4","2913","7.98"
"rose","4","19326","9.87"
"Ross","4","11123","9.32"
"rosy","4","862","6.76"
"rote","4","394","5.98"
"rots","4","177","5.18"
"rout","4","304","5.72"
"rove","4","39","3.66"
"rows","4","4309","8.37"
"Roxy","4","594","6.39"
"ruby","4","4465","8.40"
"rude","4","7346","8.90"
"rule","4","45323","10.72"
"Rudy","4","1357","7.21"
"rugs","4","552","6.31"
"ruin","4","7182","8.88"
"rump","4","847","6.74"
"rune","4","1246","7.13"
"rung","4","563","6.33"
"runs","4","47697","10.77"
"runt","4","264","5.58"
"ruse","4","911","6.81"
"rush","4","27949","10.24"
"rusk","4","130","4.87"
"Russ","4","5376","8.59"
"rust","4","4188","8.34"
"Ruth","4","4382","8.39"
"ruts","4","159","5.07"
"Ryan","4","14349","9.57"
"sack","4","2220","7.71"
"ribs","4","1849","7.52"
"rice","4","16535","9.71"
"rich","4","36592","10.51"
"Rick","4","21027","9.95"
"ride","4","23593","10.07"
"rife","4","477","6.17"
"riff","4","1734","7.46"
"rift","4","1865","7.53"
"rigs","4","746","6.61"
"rile","4","162","5.09"
"rime","4","927","6.83"
"rims","4","1616","7.39"
"rind","4","407","6.01"
"ring","4","44167","10.70"
"rink","4","2015","7.61"
"riot","4","2286","7.73"
"ripe","4","1286","7.16"
"rise","4","14753","9.60"
"risk","4","36284","10.50"
"rite","4","2043","7.62"
"ritz","4","1517","7.32"
"road","4","66722","11.11"
"roam","4","1099","7.00"
"roar","4","1516","7.32"
"reps","4","2966","7.99"
"rest","4","78610","11.27"
"rein","4","791","6.67"
"rely","4","8349","9.03"
"rend","4","234","5.46"
"Reno","4","3080","8.03"
"rent","4","10739","9.28"
"redo","4","1061","6.97"
"reds","4","1723","7.45"
"reed","4","6652","8.80"
"reef","4","2981","8.00"
"reek","4","160","5.08"
"reel","4","2752","7.92"
"racy","4","149","5.00"
"raft","4","841","6.73"
"rage","4","6289","8.75"
"rags","4","1457","7.28"
"raid","4","6762","8.82"
"rail","4","7339","8.90"
"rain","4","17801","9.79"
"rake","4","919","6.82"
"ramp","4","2793","7.93"
"rand","4","7231","8.89"
"rang","4","1730","7.46"
"rank","4","9512","9.16"
"rant","4","2862","7.96"
"rape","4","12684","9.45"
"rapt","4","132","4.88"
"rare","4","36258","10.50"
"rash","4","2285","7.73"
"rasp","4","122","4.80"
"rate","4","87417","11.38"
"rats","4","7486","8.92"
"rave","4","2964","7.99"
"rays","4","1644","7.40"
"raze","4","110","4.70"
"read","4","289582","12.58"
"real","4","197763","12.19"
"ream","4","336","5.82"
"reap","4","1433","7.27"
"rear","4","15895","9.67"
"puke","4","1277","7.15"
"pull","4","28190","10.25"
"pulp","4","4301","8.37"
"puma","4","595","6.39"
"pump","4","10590","9.27"
"punk","4","6661","8.80"
"punt","4","500","6.21"
"puny","4","848","6.74"
"pupa","4","46","3.83"
"pups","4","975","6.88"
"pure","4","21172","9.96"
"push","4","19347","9.87"
"purr","4","375","5.93"
"puss","4","266","5.58"
"puts","4","15760","9.67"
"putt","4","715","6.57"
"pyre","4","146","4.98"
"quad","4","4523","8.42"
"quip","4","501","6.22"
"quit","4","16823","9.73"
"quiz","4","2915","7.98"
"race","4","46405","10.75"
"rack","4","11655","9.36"
"prom","4","1424","7.26"
"prop","4","3334","8.11"
"pros","4","6424","8.77"
"prow","4","65","4.17"
"puff","4","1196","7.09"
"pubs","4","1427","7.26"
"puce","4","48","3.87"
"puck","4","2018","7.61"
"prep","4","2176","7.69"
"prey","4","3684","8.21"
"prim","4","218","5.38"
"prod","4","1748","7.47"
"prof","4","9597","9.17"
"pore","4","415","6.03"
"pork","4","2767","7.93"
"porn","4","6587","8.79"
"port","4","62053","11.04"
"pose","4","4365","8.38"
"posh","4","313","5.75"
"post","4","275951","12.53"
"posy","4","46","3.83"
"pots","4","2565","7.85"
"pour","4","11348","9.34"
"pout","4","334","5.81"
"pram","4","931","6.84"
"pray","4","9582","9.17"
"play","4","149546","11.92"
"plea","4","1986","7.59"
"plod","4","135","4.91"
"plop","4","495","6.20"
"plot","4","17284","9.76"
"plow","4","763","6.64"
"ploy","4","1362","7.22"
"plug","4","15792","9.67"
"plum","4","825","6.72"
"plus","4","99584","11.51"
"pock","4","27","3.30"
"pods","4","956","6.86"
"poem","4","5184","8.55"
"poet","4","3454","8.15"
"poke","4","2583","7.86"
"poky","4","56","4.03"
"pole","4","5730","8.65"
"poll","4","7921","8.98"
"polo","4","1407","7.25"
"pong","4","948","6.85"
"pomp","4","139","4.93"
"pond","4","3604","8.19"
"pony","4","2249","7.72"
"poof","4","582","6.37"
"Pooh","4","1428","7.26"
"pool","4","16200","9.69"
"poop","4","1093","7.00"
"poor","4","53482","10.89"
"Pope","4","8144","9.01"
"pops","4","3962","8.28"
"pica","4","123","4.81"
"pick","4","45297","10.72"
"pied","4","240","5.48"
"pier","4","1150","7.05"
"pies","4","718","6.58"
"pigs","4","4274","8.36"
"pike","4","2432","7.80"
"pile","4","5666","8.64"
"pill","4","2805","7.94"
"pimp","4","988","6.90"
"pine","4","7920","8.98"
"ping","4","5115","8.54"
"pink","4","13066","9.48"
"pins","4","7569","8.93"
"pint","4","1470","7.29"
"pipe","4","12205","9.41"
"pish","4","48","3.87"
"piss","4","6979","8.85"
"pith","4","113","4.73"
"pits","4","2072","7.64"
"pity","4","4908","8.50"
"plan","4","63172","11.05"
"pens","4","1814","7.50"
"peon","4","207","5.33"
"perk","4","310","5.74"
"perm","4","8527","9.05"
"pert","4","334","5.81"
"Peru","4","4781","8.47"
"peso","4","2329","7.75"
"pest","4","1075","6.98"
"Pete","4","13906","9.54"
"pets","4","4867","8.49"
"pews","4","116","4.75"
"phew","4","466","6.14"
"Phil","4","20084","9.91"
"park","4","46460","10.75"
"pars","4","203","5.31"
"part","4","249067","12.43"
"pa's","4","192","5.26"
"pass","4","48574","10.79"
"past","4","89390","11.40"
"pate","4","472","6.16"
"path","4","43722","10.69"
"Paul","4","89377","11.40"
"pave","4","749","6.62"
"pawn","4","1542","7.34"
"paws","4","1401","7.24"
"pays","4","13224","9.49"
"peak","4","8419","9.04"
"peal","4","204","5.32"
"pear","4","971","6.88"
"peas","4","1457","7.28"
"peat","4","650","6.48"
"peck","4","1067","6.97"
"pecs","4","354","5.87"
"peed","4","411","6.02"
"peek","4","1954","7.58"
"peel","4","2813","7.94"
"peep","4","622","6.43"
"peer","4","4088","8.32"
"pegs","4","577","6.36"
"pelt","4","387","5.96"
"ovum","4","214","5.37"
"owed","4","1733","7.46"
"owes","4","1672","7.42"
"owls","4","777","6.66"
"owns","4","6599","8.79"
"oxen","4","180","5.19"
"pace","4","7202","8.88"
"pack","4","30418","10.32"
"pact","4","1366","7.22"
"pads","4","4633","8.44"
"page","4","157108","11.96"
"paid","4","50044","10.82"
"pail","4","496","6.21"
"pain","4","36596","10.51"
"pair","4","23219","10.05"
"pale","4","5424","8.60"
"pall","4","160","5.08"
"palm","4","5990","8.70"
"pals","4","1687","7.43"
"pane","4","969","6.88"
"pang","4","728","6.59"
"pans","4","1067","6.97"
"pant","4","536","6.28"
"papa","4","2086","7.64"
"pare","4","729","6.59"
"Oslo","4","2416","7.79"
"Otto","4","2430","7.80"
"ouch","4","2357","7.77"
"ours","4","6847","8.83"
"oust","4","205","5.32"
"outs","4","2012","7.61"
"oval","4","1754","7.47"
"oven","4","3889","8.27"
"over","4","452595","13.02"
"odds","4","8295","9.02"
"odor","4","1395","7.24"
"o'er","4","158","5.06"
"ogle","4","676","6.52"
"ogre","4","4698","8.45"
"Ohio","4","20023","9.90"
"oils","4","2388","7.78"
"oily","4","570","6.35"
"oink","4","428","6.06"
"okay","4","33915","10.43"
"okra","4","175","5.16"
"Olga","4","1797","7.49"
"omen","4","995","6.90"
"omit","4","1630","7.40"
"once","4","188862","12.15"
"ones","4","82907","11.33"
"only","4","828014","13.63"
"onto","4","37373","10.53"
"onus","4","559","6.33"
"onyx","4","1495","7.31"
"oops","4","7763","8.96"
"ooze","4","2454","7.81"
"oozy","4","26","3.26"
"opal","4","664","6.50"
"open","4","145040","11.88"
"opus","4","1438","7.27"
"oral","4","8570","9.06"
"ores","4","231","5.44"
"orgy","4","685","6.53"
"nook","4","237","5.47"
"noon","4","4848","8.49"
"nope","4","11114","9.32"
"norm","4","6407","8.77"
"nose","4","13919","9.54"
"nosh","4","36","3.58"
"nosy","4","929","6.83"
"note","4","131657","11.79"
"noun","4","1523","7.33"
"nova","4","8385","9.03"
"nude","4","6496","8.78"
"null","4","15410","9.64"
"numb","4","1271","7.15"
"nuns","4","1084","6.99"
"nuts","4","8407","9.04"
"oafs","4","31","3.43"
"oaks","4","1631","7.40"
"oath","4","3595","8.19"
"oats","4","903","6.81"
"obey","4","4163","8.33"
"oboe","4","317","5.76"
"neck","4","14841","9.61"
"need","4","415850","12.94"
"nest","4","2558","7.85"
"neon","4","3606","8.19"
"Nero","4","594","6.39"
"nets","4","3435","8.14"
"news","4","149044","11.91"
"newt","4","8878","9.09"
"next","4","188009","12.14"
"nice","4","113119","11.64"
"nick","4","17831","9.79"
"nigh","4","393","5.97"
"Nile","4","703","6.56"
"Nina","4","1660","7.41"
"nine","4","14715","9.60"
"nips","4","340","5.83"
"Noah","4","3103","8.04"
"node","4","8028","8.99"
"nods","4","548","6.31"
"Noel","4","2079","7.64"
"none","4","90590","11.41"
"much","4","483898","13.09"
"muck","4","1235","7.12"
"muff","4","348","5.85"
"mugs","4","655","6.48"
"mule","4","1488","7.31"
"mull","4","252","5.53"
"murk","4","1305","7.17"
"muse","4","1301","7.17"
"mush","4","2549","7.84"
"musk","4","216","5.38"
"muss","4","812","6.70"
"must","4","306094","12.63"
"mute","4","1377","7.23"
"mutt","4","442","6.09"
"myth","4","8162","9.01"
"nail","4","4603","8.43"
"name","4","297695","12.60"
"nape","4","175","5.16"
"naps","4","303","5.71"
"navy","4","8936","9.10"
"Nazi","4","9203","9.13"
"Neal","4","4218","8.35"
"near","4","78062","11.27"
"neat","4","11901","9.38"
"mold","4","3748","8.23"
"mole","4","1536","7.34"
"moll","4","386","5.96"
"monk","4","3775","8.24"
"mono","4","7152","8.88"
"mood","4","7396","8.91"
"moon","4","30689","10.33"
"Moor","4","608","6.41"
"moos","4","250","5.52"
"moot","4","2408","7.79"
"mope","4","95","4.55"
"mops","4","266","5.58"
"more","4","1076711","13.89"
"morn","4","357","5.88"
"moss","4","3715","8.22"
"most","4","495365","13.11"
"moth","4","515","6.24"
"move","4","80091","11.29"
"milk","4","15195","9.63"
"mill","4","4853","8.49"
"milt","4","816","6.70"
"mime","4","9918","9.20"
"mind","4","131156","11.78"
"mine","4","89230","11.40"
"mini","4","7238","8.89"
"mink","4","582","6.37"
"mint","4","84435","11.34"
"minx","4","145","4.98"
"mire","4","427","6.06"
"miss","4","30936","10.34"
"mist","4","3266","8.09"
"mite","4","471","6.15"
"mitt","4","163","5.09"
"moan","4","2141","7.67"
"moat","4","2286","7.73"
"mobs","4","415","6.03"
"mock","4","1816","7.50"
"mode","4","65878","11.10"
"meek","4","1498","7.31"
"meet","4","48215","10.78"
"meld","4","629","6.44"
"melt","4","2781","7.93"
"memo","4","3321","8.11"
"mend","4","357","5.88"
"menu","4","28562","10.26"
"meow","4","1154","7.05"
"mere","4","9454","9.15"
"mesa","4","5954","8.69"
"mesh","4","1955","7.58"
"mess","4","13190","9.49"
"Mets","4","1347","7.21"
"mica","4","409","6.01"
"mice","4","4181","8.34"
"miff","4","59","4.08"
"Mike","4","82468","11.32"
"mild","4","5333","8.58"
"mile","4","9657","9.18"
"many","4","474923","13.07"
"maps","4","11613","9.36"
"mare","4","1430","7.27"
"mark","4","103559","11.55"
"Mars","4","8196","9.01"
"mart","4","1401","7.24"
"Marx","4","3468","8.15"
"Mary","4","25159","10.13"
"mash","4","1627","7.39"
"mask","4","12361","9.42"
"mass","4","33835","10.43"
"mast","4","1614","7.39"
"mate","4","5179","8.55"
"mayo","4","1520","7.33"
"math","4","18404","9.82"
"mats","4","2087","7.64"
"Matt","4","25398","10.14"
"maul","4","285","5.65"
"maxi","4","320","5.77"
"Mays","4","1003","6.91"
"maze","4","6472","8.78"
"mead","4","1693","7.43"
"meal","4","6528","8.78"
"mean","4","151693","11.93"
"meat","4","14861","9.61"
"lung","4","13500","9.51"
"lure","4","5051","8.53"
"lurk","4","1850","7.52"
"lush","4","1018","6.93"
"lust","4","5572","8.63"
"lute","4","349","5.86"
"Lyle","4","1945","7.57"
"Lynn","4","12846","9.46"
"lynx","4","8536","9.05"
"lyre","4","1735","7.46"
"mace","4","1274","7.15"
"mack","4","2133","7.67"
"made","4","271084","12.51"
"magi","4","441","6.09"
"maid","4","1714","7.45"
"mail","4","260346","12.47"
"maim","4","349","5.86"
